,Cities,Latitude,Longitude,Temperature (F),Cloudiness (%),Wind Speed (mph),Humidity (%)
0,mataura,-46.19,168.86,45.66,80,16.02,92
1,torbay,47.66,-52.73,55.4,90,17.22,76
2,kapaa,22.08,-159.32,81.12,90,16.11,100
3,avarua,-21.21,-159.78,71.6,40,10.29,53
4,chokurdakh,70.62,147.9,46.11,68,11.32,97
5,pisco,-13.71,-76.2,62.6,75,11.41,82
6,amapa,15.09,-87.97,71.04,92,1.92,88
7,baiyin,36.55,104.13,62.6,75,6.71,82
8,talnakh,69.49,88.39,51.51,92,20.6,88
9,ulaangom,49.98,92.07,58.17,0,3.49,34
10,amahai,-3.31,129,79.77,92,17.81,100
11,compostela,21.24,-104.9,73.4,90,1.7,83
12,ushuaia,-54.81,-68.31,42.8,75,9.17,75
13,muros,42.77,-9.06,64.4,0,2.24,93
14,rikitea,-23.12,-134.97,76.17,88,24.74,100
16,avanigadda,16.02,80.92,82.4,75,9.17,74
17,lobito,-12.35,13.55,56.46,0,1.14,72
20,igarka,67.47,86.57,54.3,92,25.41,95
21,anadyr,64.73,177.51,57.2,40,17.9,58
22,codrington,-28.95,153.24,59.79,0,4.38,67
23,vaini,15.34,74.49,69.87,92,6.62,99
24,kaitangata,-46.28,169.85,45.03,88,16.69,92
25,busselton,-33.64,115.35,60.6,24,5.95,100
27,dudinka,69.41,86.18,53.31,92,25.08,99
28,mirnyy,56.57,36.46,59.43,8,7.74,97
29,laguna,27.52,-110.01,89.6,90,9.17,49
31,albany,42.65,-73.75,64.15,40,3.15,60
32,wabag,-5.48,143.7,57.9,92,1.92,99
33,donskoye,45.45,41.98,69.8,0,2.24,52
34,saint george,39.45,22.34,68,20,8.05,82
35,dikson,73.51,80.55,44.94,8,20.49,82
38,atuona,-9.8,-139.03,79.41,0,18.14,100
41,alofi,-19.06,-169.92,75.9,24,22.5,100
42,dingle,11,122.67,83.64,68,11.43,77
43,nabire,-3.36,135.5,79.23,36,1.59,79
44,bluff,-23.58,149.07,66.81,0,12.1,33
45,nuuk,64.17,-51.74,35.6,48,10.29,93
46,myra,58.75,8.86,63.39,0,9.53,57
48,manadhoo,5.77,73.38,83.37,48,19.6,99
50,ambulu,-8.35,113.61,77.34,64,8.52,90
52,cabo san lucas,22.89,-109.91,81.63,40,9.17,57
54,ofaqim,31.31,34.62,55.65,32,2.82,84
55,hofn,64.25,-15.21,49.26,100,20.15,96
56,rio gallegos,-51.62,-69.22,39.2,40,6.93,64
57,bilibino,68.06,166.44,55.83,64,3.15,57
58,fortuna,38.18,-1.13,68,0,1.12,72
60,camapua,-19.53,-54.04,66.09,0,9.42,57
62,punta arenas,-53.16,-70.91,38.37,0,9.17,100
64,chkalovsk,56.76,43.24,59,40,4.47,93
65,kazanskaya,45.41,40.44,72.48,20,2.82,65
66,mar del plata,-46.43,-67.52,20.46,24,3.27,100
69,hobart,-42.88,147.33,53.6,20,14.99,50
71,chau doc,10.71,105.12,86.43,56,10.2,77
72,aswan,24.09,32.9,86,0,4.7,15
75,bethel,60.79,-161.76,50,90,21.92,81
77,campo maior,39.01,-7.07,61.59,0,3.15,89
78,jamestown,-33.21,138.6,51.33,0,4.5,75
79,nikolskoye,59.7,30.79,59,90,8.95,82
81,cherskiy,68.75,161.3,48.9,80,6.73,53
83,sao filipe,14.9,-24.5,75.9,68,4.83,97
85,norman wells,65.28,-126.83,78.8,75,6.93,47
87,berezovyy,51.67,135.7,72.3,92,3.38,63
88,puerto ayora,-0.74,-90.35,73.2,80,13.56,100
89,puerto escondido,15.86,-97.07,80.6,75,5.82,74
91,hermanus,-34.42,19.24,45.12,0,4.61,75
96,gamba,28.28,88.52,35.31,68,2.59,94
100,molteno,-31.4,26.36,21.63,0,2.59,62
103,caluquembe,-13.78,14.68,44.4,0,4.94,69
105,anloga,5.79,0.9,77,40,4.7,94
107,taltal,-25.41,-70.49,43.68,0,1.25,97
108,dutse,11.76,9.34,70.23,8,5.39,90
112,sao joao da barra,-21.64,-41.05,75.99,0,16.46,93
116,buchanan,5.88,-10.05,75.99,88,5.28,100
